articulo,marca,nombre,descripcion_lp,talles,curva,precio_excel,match,score,en_sitio,sitio_nombre,sitio_sku,sitio_imagen,sitio_descripcion_corta,sitio_precio,sitio_url
81609,MICKEY,Remera ML Mickey,Remera ML Mickey,2-4-6-8,2-2-1-1,10990,sku,1.00,si,Remera ML Mickey Mouse,81609-marron,https://magicstore.com.ar/wp-content/uploads/2026/02/0307-1-scaled.jpg,"Esta remera es un homenaje a los mejores amigos de Disney. Con un diseño de «doble impacto» que incluye a Mickey, Goofy y Donald, y una combinación de colores vibrante, es la prenda perfecta para compartir buenos momentos y mucha diversión.",26500,https://magicstore.com.ar/remera-ml-mickey-mouse-4/
81700,TOY STORY,Remera ML Toy story,Remera ML Toy story,2-4-6-8,2-2-1-1,11990,sku,1.00,si,Remera Manga Larga Toy Story,81700-beige,https://magicstore.com.ar/wp-content/uploads/2026/02/81700.webp,"Esta remera de manga larga reinventa al vaquero favorito de todos. Con un color base natural que combina con todo, presenta a Woody listo para la acción con un look renovado y un fondo inspirado en el mundo de las apps y los juegos",28999,https://magicstore.com.ar/remera-manga-larga-toy-story/
81701,TOY STORY,Remera ML Toy story,Remera ML Toy story,2-4-6-8,2-2-1-1,11990,sku,1.00,si,Remera Manga Larga Toy Story,81701-celeste,https://magicstore.com.ar/wp-content/uploads/2026/02/81701-1.jpg,"Esta remera de Toy Story 5 es ideal para los chicos que buscan un estilo «skater» o descontracturado. Su diseño simula ser una remera de manga corta sobre una de manga larga (efecto superpuesto), brindando toda la onda de las capas sin la incomodidad de usar dos prendas a la vez.",28999,https://magicstore.com.ar/remera-manga-larga-toy-story-2/
81702,TOY STORY,Remera ML Toy story,Remera ML Toy story,2-4-6-8,2-2-1-1,11990,fuzzy,0.60,si,Remera Manga Larga Toy Story,81701-celeste,https://magicstore.com.ar/wp-content/uploads/2026/02/81701-1.jpg,"Esta remera de Toy Story 5 es ideal para los chicos que buscan un estilo «skater» o descontracturado. Su diseño simula ser una remera de manga corta sobre una de manga larga (efecto superpuesto), brindando toda la onda de las capas sin la incomodidad de usar dos prendas a la vez.",28999,https://magicstore.com.ar/remera-manga-larga-toy-story-2/
82049,MINNIE,Buzo Capucha Minnie,Buzo Capucha Minnie,4-6-8-10,1 X TALLE,22500,sku,1.00,si,Buzo crop Minnie Mouse,82049%lila,https://magicstore.com.ar/wp-content/uploads/2025/01/magik-2304696.jpg,"Dale un giro audaz a tu look con nuestro buzo de frisa crop con detalles únicos y súper cancheros. Con tanca ajustable en la cintura, podés regular el calce para un fit más personalizado y moderno. La capucha forrada aporta abrigo extra, ideal para los días frescos. El detalle estrella: un aplique con print leopardo que se combina con estampa frontal, creando un diseño urbano, atrevido y a la moda. Hecho en frisa suave y abrigada, es perfecto para combinar con joggers o jeans de tiro alto. ¡Un must-have de temporada!",49500,https://magicstore.com.ar/buzo-crop-minnie-mouse/
82055,MINNIE,Buzo CR Minnie,Buzo CR Minnie,2-4-6-8-10,1-2-2-2-1,12500,sku,1.00,si,Buzo Frisa Minnie Mouse,82055-gris,https://magicstore.com.ar/wp-content/uploads/2025/02/MINNIE-ART.-82055.jpg,"¡Que tu pequeña se divierta con estilo con este adorable buzo de Minnie Mouse! Con un diseño encantador de Minnie dibujada en su pose clásica, este buzo es perfecto para las fans de Disney que buscan comodidad y estilo. Hecho de tela suave y cálida, es ideal para días de juegos y aventuras. 🎀🐭 ¡Un toque de diversión y alegría con Minnie en cada momento!",27500,https://magicstore.com.ar/buzo-frisa-minnie-mouse/
82065,MINNIE,Calza Minnie,Calza Minnie,4-6-8-10,1 X TALLE,7500,slug,1.00,si,Calza Minnie,82065%rosa,https://magicstore.com.ar/wp-content/uploads/2025/02/MINNIE-ART.-82065-1.webp,"¡Haz que cada paso sea alegre con esta encantadora calza de Minnie Mouse! Con un diseño vibrante que destaca el icónico lazo de Minnie, esta calza es perfecta para las pequeñas que adoran la magia de Disney. Confeccionada en tela suave y elástica, ofrece total comodidad para todo el día de juego, risas y diversión. 🎀✨ ¡Un toque de Disney en cada movimiento!",17999,https://magicstore.com.ar/calza-minnie/
82067,MINNIE,Calza Minnie,Calza Minnie,2-4-6-8-10,1-2-2-2-1,7500,slug,1.00,si,Calza Minnie,82065%rosa,https://magicstore.com.ar/wp-content/uploads/2025/02/MINNIE-ART.-82065-1.webp,"¡Haz que cada paso sea alegre con esta encantadora calza de Minnie Mouse! Con un diseño vibrante que destaca el icónico lazo de Minnie, esta calza es perfecta para las pequeñas que adoran la magia de Disney. Confeccionada en tela suave y elástica, ofrece total comodidad para todo el día de juego, risas y diversión. 🎀✨ ¡Un toque de Disney en cada movimiento!",17999,https://magicstore.com.ar/calza-minnie/
82295,PRINCESAS,Buzo capucha Princesas,Buzo capucha Princesas,2-4-6-8-10,1 X TALLE,14990,slug,1.00,si,Buzo capucha Princesas,82772-beige,https://magicstore.com.ar/wp-content/uploads/2026/02/82772-1.jpg,"Este buzo con capucha es mucho más que un básico de invierno; es un recordatorio diario de que los sueños se hacen realidad. Reuniendo a tres de las princesas más queridas y valientes de Disney —Ariel, Moana y Bella—, creamos una prenda que inspira a las niñas a explorar el mundo con curiosidad y corazón. Pensado para la comodidad total, este hoodie cuenta con una capucha amplia con cordones al tono, ideal para protegerse del viento con estilo. Sus puños y cintura de rib elástico aseguran un calce perfecto que acompaña el movimiento, ya sea para leer un libro como Bella o para salir a la aventura como Moana. Es la prenda «comodín» perfecta: combina con todo y lleva la magia a todas partes.",48500,https://magicstore.com.ar/buzo-capucha-princesas/
82384,MINNIE,Camison ML Minnie,Camison ML Minnie,2-4-6-8-10,1 X TALLE,7500,sku,1.00,si,Remera Minnie Mouse,82384%negro,https://magicstore.com.ar/wp-content/uploads/2025/02/MINNIE-ART.-82384.jpg,"¡El dúo más querido de Disney llega en esta encantadora remera de Minnie y Mickey! Con un diseño lleno de ternura y diversión, esta prenda es perfecta para las pequeñas fans de estos personajes clásicos. Confeccionada en tela suave y cómoda, es ideal para acompañar cada aventura con el toque especial de Disney. ¡Un básico lleno de alegría y estilo!",17999,https://magicstore.com.ar/remera-minnie-mouse-3/
82651,MINNIE,Buzo Capucha Minnie,Buzo Capucha Minnie,2-4-6-8-10-12,1-2-2-2-2-1,22500,sku,1.00,si,Buzo minnie para niñas – DISNEY,82651-único,https://magicstore.com.ar/wp-content/uploads/2025/07/buzo-minnie.png,"Buzo minnie para niñas – DISNEY. Inspirada en Minnie, disfruta de una prenda que combina estilo y comodidad, confeccionada en RUSTICO de alta calidad, disponible en talles 2-4-6-8-10-12. Perfecta para destacar en cada ocasión y acompañar tus aventuras diarias. ¡Hazla tuya y renueva tu look con diversión y versatilidad!",49500,https://magicstore.com.ar/buzo-minnie-para-ninas-disney/
82661,MINNIE,CAMPERA Capucha MINNIE,CAMPERA Capucha MINNIE,2-4-6-8,1 X TALLE,22500,sku,1.00,si,Campera de frisa Minnie,82661%azul,https://magicstore.com.ar/wp-content/uploads/2025/02/magik-2304711.jpg,"Abrigo con magia y estilo: esta campera de Minnie Mouse de frisa es ideal para los días frescos. Confeccionada en algodón abrigado, incluye capucha forrada y ajustable para mayor comodidad y protección. Su diseño destaca por la doble estampa de Minnie con detalles en glitter brillante, perfecta para las pequeñas fanáticas de Disney. Cómoda, cálida y con mucho estilo.",49500,https://magicstore.com.ar/campera-de-frisa-minnie/
82663,MINNIE,PIJAMA ML MINNIE,PIJAMA ML MINNIE,2-4-6-8-10-12,1-2-2-2-1-1,19990,fuzzy,0.67,si,Pijama Minnie Dream,82664%rosa,https://magicstore.com.ar/wp-content/uploads/2025/02/mgc-3305447.jpg,"¡Hora de dormir con estilo y diversión con este adorable pijama de Minnie Mouse! Con un diseño cómodo y encantador, es perfecto para las pequeñas fans de Minnie, haciendo que cada noche sea mágica y llena de dulces sueños. 🎀🌙",37500,https://magicstore.com.ar/pijama-minnie-dream/
82665,MINNIE,PIJAMA ML MINNIE,PIJAMA ML MINNIE,2-4-6-8-10,1 X TALLE,29990,sku,1.00,si,Pijama Minnie Mouse Plush,82665%rosa,https://magicstore.com.ar/wp-content/uploads/2025/02/82665-completo.webp,"Este conjunto de pijama de dos piezas está hecho de plush sublimado, proporcionando una sensación suave y cálida para las noches frías. La camiseta de manga larga presenta una estampa vibrante, mientras que el pantalón a juego con cintura elástica ofrece un ajuste cómodo y práctico. Ideal para el descanso y la comodidad durante el invierno.",71999,https://magicstore.com.ar/pijama-minnie-mouse-plush/
82667,MINNIE,Remera ML Minnie,Remera ML Minnie,2-4-6-8-10,1-2-2-2-1,9990,fuzzy,0.67,si,Remera Minnie Mouse,83007-negro,https://magicstore.com.ar/wp-content/uploads/2026/02/0361-2-scaled.jpg,"Esta remera negra de manga larga eleva cualquier outfit básico gracias a sus detalles de alta costura. Es la opción perfecta para las niñas que aman brillar, combinando la sofisticación del color negro con la diversión de las lentejuelas.",26500,https://magicstore.com.ar/remera-minnie-mouse-4/
82695,MINNIE,Buzo Capucha Minnie,Buzo Capucha Minnie,2-4-6-8-10,1-2-2-2-1,24990,sku,1.00,si,Buzo Hoodie Minnie Mouse,82695-durazno,https://magicstore.com.ar/wp-content/uploads/2026/02/82695-1.jpg,"Este buzo con capucha en un hermoso tono salmón pastel es la prenda estrella de la temporada. Con un diseño que mezcla la estética deportiva (gorra y tipografía varsity) con el encanto clásico de Minnie, es ideal para las niñas que marcan tendencia.",54999,https://magicstore.com.ar/buzo-hoodie-minnie-mouse/
82699,MINNIE,Buzo CR Minnie,Buzo CR Minnie,2-4-6-8-10,1-2-2-2-1,17990,fuzzy,0.50,si,Buzo Hoodie Minnie Mouse,82695-durazno,https://magicstore.com.ar/wp-content/uploads/2026/02/82695-1.jpg,"Este buzo con capucha en un hermoso tono salmón pastel es la prenda estrella de la temporada. Con un diseño que mezcla la estética deportiva (gorra y tipografía varsity) con el encanto clásico de Minnie, es ideal para las niñas que marcan tendencia.",54999,https://magicstore.com.ar/buzo-hoodie-minnie-mouse/
82736,PRINCESAS,Buzo Capucha Princesas,Buzo Capucha Princesas,2-4-6-8-10,1-2-2-2-1,19990,slug,1.00,si,Buzo capucha Princesas,82772-beige,https://magicstore.com.ar/wp-content/uploads/2026/02/82772-1.jpg,"Este buzo con capucha es mucho más que un básico de invierno; es un recordatorio diario de que los sueños se hacen realidad. Reuniendo a tres de las princesas más queridas y valientes de Disney —Ariel, Moana y Bella—, creamos una prenda que inspira a las niñas a explorar el mundo con curiosidad y corazón. Pensado para la comodidad total, este hoodie cuenta con una capucha amplia con cordones al tono, ideal para protegerse del viento con estilo. Sus puños y cintura de rib elástico aseguran un calce perfecto que acompaña el movimiento, ya sea para leer un libro como Bella o para salir a la aventura como Moana. Es la prenda «comodín» perfecta: combina con todo y lleva la magia a todas partes.",48500,https://magicstore.com.ar/buzo-capucha-princesas/
82737,PRINCESAS,Camison ML PRINCESAS,Camison ML PRINCESAS,2-4-6-8-10-12,1-2-2-2-2-1,10990,sku,1.00,si,Camison Ariel La Sirenita,82737%verde,https://magicstore.com.ar/wp-content/uploads/2025/02/82737.webp,"El camisón de algodón y modal con volados sublimado es una prenda delicada y femenina, pensada para brindar comodidad y un toque de estilo único. Hecho con una mezcla de algodón y modal, este camisón ofrece una sensación suave y ligera al contacto con la piel, asegurando frescura y confort durante toda la noche. Los volados en los bordes agregan un detalle romántico y elegante, aportando fluidez y movimiento a la prenda. La técnica de sublimación permite que los diseños y colores vibrantes sean parte del tejido, logrando estampados duraderos y de alta calidad, que no se desvanecen con el uso o el lavado. Este camisón es perfecto para quienes buscan una prenda casual, cómoda y con un toque moderno y chic. Ideal para descansar con estilo y confort.",26500,https://magicstore.com.ar/camison-ariel-la-sirenita/
82738,PRINCESAS,Pijama ML Princesas,Pijama ML Princesas,2-4-6-8-10-12,1-2-2-2-2-1,14990,slug,1.00,si,Pijama ML princesas,82778-rosa,https://magicstore.com.ar/wp-content/uploads/2026/02/82778-1.jpg,¿Quién dijo que los pijamas tienen que ser aburridos? Este conjunto de dos piezas reinventa la ropa de dormir con una estética universitaria que es tendencia absoluta. Es el «uniforme» oficial para que las niñas se unan al equipo de soñadoras más icónico de todos los tiempos antes de irse a la cama.,35999,https://magicstore.com.ar/pijama-ml-princesas/
82740,PRINCESAS,Pijama ML Princesas,Pijama ML Princesas,2-4-6-8-10-12,1-2-2-2-2-1,24990,slug,1.00,si,Pijama ML princesas,82778-rosa,https://magicstore.com.ar/wp-content/uploads/2026/02/82778-1.jpg,¿Quién dijo que los pijamas tienen que ser aburridos? Este conjunto de dos piezas reinventa la ropa de dormir con una estética universitaria que es tendencia absoluta. Es el «uniforme» oficial para que las niñas se unan al equipo de soñadoras más icónico de todos los tiempos antes de irse a la cama.,35999,https://magicstore.com.ar/pijama-ml-princesas/
82741,PRINCESAS,Remera ML Princesas,Remera ML Princesas,2-4-6-8-10,1-2-2-2-1,9990,sku,1.00,si,Remera Encantada de Ariel,82741%fucsia,https://magicstore.com.ar/wp-content/uploads/2025/02/PRINCESAS-ART.-82741.jpg,"¡Sumérgete en el mundo mágico de La Sirenita con esta hermosa remera de Ariel! Con un diseño vibrante que resalta la icónica imagen de la sirenita y sus amigos, esta prenda será el toque perfecto para que tu peque viva aventuras bajo el mar. Hecha con material suave y cómodo, ideal para todo el día, ya sea explorando el océano o jugando en tierra firme. ¡Haz que cada día sea tan encantador como una canción de «Bajo el Mar»! 🎶🧜‍♀️",23999,https://magicstore.com.ar/remera-encantada-de-ariel/
82742,PRINCESAS,Remera ML Princesas,Remera ML Princesas,2-4-6-8-10,1-2-2-2-1,7990,sku,1.00,si,Remera Moana,82742%verde,https://magicstore.com.ar/wp-content/uploads/2025/02/magic-245.jpg,"¡Embárcate en una aventura inolvidable con esta remera de Moana! Inspirada en la valiente exploradora del océano, esta prenda es ideal para las pequeñas que sueñan con descubrir nuevos mundos y enfrentar desafíos con valentía. 🌊🚤",19500,https://magicstore.com.ar/remera-moana/
82743,PRINCESAS,Remera ML Moana,Remera ML Moana,2-4-6-8-10,1 X TALLE,7990,sku,1.00,si,Remera Moana,82743%rosa,https://magicstore.com.ar/wp-content/uploads/2025/02/magic-remera-moana-2.webp,"Remera de algodón irregular, con abertura lateral, estampada. Esta remera de algodón presenta un corte irregular que le da un toque moderno y único, además de una abertura lateral que añade comodidad y estilo. Su estampado vibrante y original la convierte en una prenda perfecta para destacar en cualquier ocasión, manteniendo a los más pequeños cómodos y a la moda.",19500,https://magicstore.com.ar/remera-how-fall-ill-go/
82744,PRINCESAS,Camison ML Moana,Camison ML Moana,2-4-6-8-10-12,1-2-2-2-2-1,9990,sku,1.00,si,Camisón Aventura en el Océano,82744%rosa,https://magicstore.com.ar/wp-content/uploads/2025/02/PRINCESAS-ART.-82744.jpg,"¡Dulces sueños con el espíritu aventurero de Moana! Este hermoso camisón, con un diseño inspirado en la valiente exploradora del océano, es perfecto para que tu pequeña se duerma soñando con nuevas travesías. Confeccionado en una tela suave y fresca, brinda comodidad y libertad de movimiento para noches llenas de magia y descanso. ¡Porque cada princesa aventurera merece dormir con estilo! 🏝️✨",23999,https://magicstore.com.ar/camison-aventura-en-el-oceano/
82745,PRINCESAS,Calza Moana,Calza Moana,2-4-6-8-10,1-2-2-2-1,7500,sku,1.00,si,Calza de Microfibra Moana &#8211; Disney,82745-celeste,https://magicstore.com.ar/wp-content/uploads/2025/02/calza-moana-disney.webp,"Calza de Microfibra Moana – Disney Descubre la calza de microfibra Moana oficial de Disney, confeccionada en microfibra premium que ofrece suavidad, elasticidad y transpirabilidad excepcionales. Su diseño ergonómico y el estampado de alta definición con la valiente Moana brindan un toque de aventura y estilo para el día a día o actividades deportivas. Microfibra premium: suave, elástica y de secado rápido Estampado Moana auténtico con licencia Disney Corte ajustado que se adapta al cuerpo y permite libertad de movimiento Costuras planas para evitar rozaduras y maximizar confort Transpirable y de fácil cuidado: lavable a máquina Disponible en varias tallas para niñas fanáticas de Disney",17999,https://magicstore.com.ar/calza-microfibra-moana/
82746,PRINCESAS,Buzo CR Moana,Buzo CR Moana,4-6-8,1 X TALLE,14990,sku,1.00,si,Buzo de frisa con recortes y estampado Moana,82746%rosa,https://magicstore.com.ar/wp-content/uploads/2025/02/mgc-3305435.jpg,"Sumá un toque de diseño a tus días con nuestro buzo de frisa con recortes y estampado de Moana, una prenda pensada para quienes buscan comodidad sin dejar de lado el estilo. Confeccionado en frisa suave y abrigada, este buzo ofrece un calce cómodo ideal para el uso diario. Sus recortes en contraste le dan un aire moderno y urbano, mientras que el estampado frontal aporta personalidad y originalidad. Disponible en varias tallas y combinaciones de color, es perfecto para armar looks cancheros y versátiles.",32999,https://magicstore.com.ar/buzo-moana/
82747,PRINCESAS,Pijama ML Moana,Pijama ML Moana,4-6-8-10,1 X TALLE,12990,sku,1.00,si,Pijama de algodón Moana para niñas &#8211; Disney,82747-rosa,https://magicstore.com.ar/wp-content/uploads/2025/02/pijama-algodon-moana-para-ninas.webp,"Pijama Infantil Moana de Algodón – Disney Dale dulces sueños a tu pequeña con este encantador pijama infantil de Moana, confeccionado en 100% algodón suave y transpirable. Perfecto para las noches de descanso y aventuras soñadas, su diseño colorido con la valiente Moana encanta a las niñas mientras cuida su piel y brinda comodidad durante toda la noche. Diseño exclusivo de Moana 100% algodón suave y ligero Ideal para pieles sensibles Fácil de lavar y mantener Corte cómodo que permite libertad de movimiento Costuras reforzadas para mayor durabilidad tras cada lavado Disponible en varias tallas para niñas fan de Disney ¡Haz que la hora de dormir sea mágica con este pijama de Moana de Disney!",31500,https://magicstore.com.ar/pijama-algodon-moana/
82752,PRINCESAS,Calza PRINCESAS,Calza PRINCESAS,2-4-6-8-10,1-2-2-2-1,7500,slug,1.00,si,Calza Princesas,82775-celeste,https://magicstore.com.ar/wp-content/uploads/2026/02/82775-rosa-1.jpg,"Si buscás una prenda que capture toda la fantasía del mundo Disney en un solo diseño, esta calza es la elegida. Es como llevar un lienzo de cuentos de hadas puesto, perfecta para las niñas que no pueden elegir solo a una princesa favorita y deciden llevarlas a todas.",26500,https://magicstore.com.ar/calza-princesas/
82772,PRINCESAS,Buzo Capucha Princesas,Buzo Capucha Princesas,2-4-6-8-10,1-2-2-2-1,21990,slug,1.00,si,Buzo capucha Princesas,82772-beige,https://magicstore.com.ar/wp-content/uploads/2026/02/82772-1.jpg,"Este buzo con capucha es mucho más que un básico de invierno; es un recordatorio diario de que los sueños se hacen realidad. Reuniendo a tres de las princesas más queridas y valientes de Disney —Ariel, Moana y Bella—, creamos una prenda que inspira a las niñas a explorar el mundo con curiosidad y corazón. Pensado para la comodidad total, este hoodie cuenta con una capucha amplia con cordones al tono, ideal para protegerse del viento con estilo. Sus puños y cintura de rib elástico aseguran un calce perfecto que acompaña el movimiento, ya sea para leer un libro como Bella o para salir a la aventura como Moana. Es la prenda «comodín» perfecta: combina con todo y lleva la magia a todas partes.",48500,https://magicstore.com.ar/buzo-capucha-princesas/
82773,PRINCESAS,Buzo CR Princesas,Buzo CR Princesas,2-4-6-8-10,1-2-2-2-1,17990,sku,1.00,si,Buzo frisa Ariel,82773-rosa,https://magicstore.com.ar/wp-content/uploads/2026/02/82773-rosa-1.jpg,"Este buzo no es solo una prenda de abrigo, es una declaración de fantasía para las pequeñas que sueñan en grande. Confeccionado en un vibrante color rosa chicle que irradia alegría, este diseño pone a Ariel en el centro de la escena con una ilustración de gran tamaño que captura su mirada curiosa y aventurera.",39999,https://magicstore.com.ar/buzo-frisa-ariel-2/
82774,PRINCESAS,Buzo CR Princesas,Buzo CR Princesas,2-4-6-8-10,1-2-2-2-1,17990,sku,1.00,si,Buzo de frisa Princesas,82774-natural,https://magicstore.com.ar/wp-content/uploads/2026/02/82774-1.jpg,"La estética de la prenda se aleja de lo convencional para abrazar un estilo «sporty chic» con aires retro. Sobre una base de color crudo (natural) que aporta calidez y luminosidad, destacan dos franjas deportivas en color durazno (salmon) que recorren las mangas desde el hombro hasta el puño, un detalle de tendencia que eleva el diseño y lo hace súper moderno.",39999,https://magicstore.com.ar/buzo-de-frisa-princesas/
82775,PRINCESAS,Calza Princesas,Calza Princesas,2-4-6-8-10,1-2-2-2-1,10990,slug,1.00,si,Calza Princesas,82775-celeste,https://magicstore.com.ar/wp-content/uploads/2026/02/82775-rosa-1.jpg,"Si buscás una prenda que capture toda la fantasía del mundo Disney en un solo diseño, esta calza es la elegida. Es como llevar un lienzo de cuentos de hadas puesto, perfecta para las niñas que no pueden elegir solo a una princesa favorita y deciden llevarlas a todas.",26500,https://magicstore.com.ar/calza-princesas/
82776,PRINCESAS,Calza Princesas,Calza Princesas,2-4-6-8-10,1-2-2-2-1,10990,slug,1.00,si,Calza Princesas,82775-celeste,https://magicstore.com.ar/wp-content/uploads/2026/02/82775-rosa-1.jpg,"Si buscás una prenda que capture toda la fantasía del mundo Disney en un solo diseño, esta calza es la elegida. Es como llevar un lienzo de cuentos de hadas puesto, perfecta para las niñas que no pueden elegir solo a una princesa favorita y deciden llevarlas a todas.",26500,https://magicstore.com.ar/calza-princesas/
82778,PRINCESAS,Pijama ML Princesas,Pijama ML Princesas,2-4-6-8-10-12,1-2-2-2-2-1,14990,slug,1.00,si,Pijama ML princesas,82778-rosa,https://magicstore.com.ar/wp-content/uploads/2026/02/82778-1.jpg,¿Quién dijo que los pijamas tienen que ser aburridos? Este conjunto de dos piezas reinventa la ropa de dormir con una estética universitaria que es tendencia absoluta. Es el «uniforme» oficial para que las niñas se unan al equipo de soñadoras más icónico de todos los tiempos antes de irse a la cama.,35999,https://magicstore.com.ar/pijama-ml-princesas/
82779,PRINCESAS,Remera ML Princesas,Remera ML Princesas,2-4-6-8-10,1-2-2-2-1,10990,fuzzy,0.50,si,Remera DC,87008%azul,https://magicstore.com.ar/wp-content/uploads/2025/02/magik-2304796.jpg,"¡Los héroes más icónicos de DC en una sola remera! Con Superman, Batman y Flash, esta prenda es perfecta para los verdaderos fanáticos de la Liga de la Justicia. Su diseño dinámico y lleno de acción refleja la fuerza, velocidad y determinación de estos legendarios superhéroes. Confeccionada en materiales suaves y cómodos, es ideal para el día a día. ¡Lleva el poder de DC Comics a cada aventura!",24900,https://magicstore.com.ar/remera-dc-trinity/
82780,PRINCESAS,Remera ML Princesas,Remera ML Princesas,2-4-6-8-10,1-2-2-2-1,10990,fuzzy,0.50,si,Remera DC,87008%azul,https://magicstore.com.ar/wp-content/uploads/2025/02/magik-2304796.jpg,"¡Los héroes más icónicos de DC en una sola remera! Con Superman, Batman y Flash, esta prenda es perfecta para los verdaderos fanáticos de la Liga de la Justicia. Su diseño dinámico y lleno de acción refleja la fuerza, velocidad y determinación de estos legendarios superhéroes. Confeccionada en materiales suaves y cómodos, es ideal para el día a día. ¡Lleva el poder de DC Comics a cada aventura!",24900,https://magicstore.com.ar/remera-dc-trinity/
82801,FROZEN,Buzo capucha Frozen,Buzo capucha Frozen,2-4-6-8-10,1 X TALLE,19990,fuzzy,0.50,si,Buzo capucha Princesas,82772-beige,https://magicstore.com.ar/wp-content/uploads/2026/02/82772-1.jpg,"Este buzo con capucha es mucho más que un básico de invierno; es un recordatorio diario de que los sueños se hacen realidad. Reuniendo a tres de las princesas más queridas y valientes de Disney —Ariel, Moana y Bella—, creamos una prenda que inspira a las niñas a explorar el mundo con curiosidad y corazón. Pensado para la comodidad total, este hoodie cuenta con una capucha amplia con cordones al tono, ideal para protegerse del viento con estilo. Sus puños y cintura de rib elástico aseguran un calce perfecto que acompaña el movimiento, ya sea para leer un libro como Bella o para salir a la aventura como Moana. Es la prenda «comodín» perfecta: combina con todo y lleva la magia a todas partes.",48500,https://magicstore.com.ar/buzo-capucha-princesas/
82802,FROZEN,Buzo CR Frozen,Buzo CR Frozen,2-4-6-8-10,1-2-2-2-1,12500,sku,1.00,si,Buzo Castillo de Arendelle,82802%rosa,https://magicstore.com.ar/wp-content/uploads/2025/02/82802.jpg,"¡Haz que tu pequeña se sienta parte del reino de Arendelle con este hermoso buzo de Frozen! Con un diseño encantador que incluye el icónico castillo de Elsa, este buzo es perfecto para mantenerla abrigada y cómoda en sus aventuras invernales. Confeccionado en material suave y cálido, es ideal para días de juego o descanso. ❄️✨ ¡Un toque de magia en cada paso mientras imagina un mundo congelado lleno de sueños!",27500,https://magicstore.com.ar/buzo-castillo-de-arendelle/
82804,FROZEN,Calza Frozen,Calza Frozen,2-4-6-8-10,1-2-2-2-1,7500,slug,1.00,si,Calza frozen,82816-celeste,https://magicstore.com.ar/wp-content/uploads/2025/01/MAGIC_CALZAFROZEN-1.webp,"¡Que la magia de Frozen te acompañe en cada paso! Esta calza, con un diseño encantador de Elsa y Anna, es perfecta para las pequeñas que adoran la aventura y la magia del reino de Arendelle. Con un ajuste cómodo y el toque único de las dos hermanas, esta calza es ideal para todo tipo de actividades, ya sea jugar, bailar o descansar. Hecha de material suave y elástico, garantiza libertad de movimiento mientras mantienen la esencia mágica de Frozen en cada momento.",17999,https://magicstore.com.ar/calza-frozen/
82805,FROZEN,Camison ML FROZEN,Camison ML FROZEN,2-4-6-8-10-12,1-2-2-2-2-1,9990,sku,1.00,si,Camisón de Nieve Frozen,82805leste,https://magicstore.com.ar/wp-content/uploads/2025/02/82805-camison-frozen-mockup-1.webp,"¡Que la magia de Frozen llegue a la hora de dormir con este adorable camisón! Con un diseño encantador que presenta a Elsa y Anna, este camisón es perfecto para que tu pequeña se sienta como una princesa del reino de Arendelle. Hecho de tela suave y fresca, garantiza comodidad y dulces sueños en cada noche. ❄️✨ ¡Ideal para que se sienta lista para nuevas aventuras de invierno, incluso mientras duerme!",23999,https://magicstore.com.ar/camison-de-nieve-frozen/
82806,FROZEN,Camison ML FROZEN,Camison ML FROZEN,2-4-6-8-10-12,1-2-2-2-2-1,9990,sku,1.00,si,Camisón Princesa de Arendelle,82806,https://magicstore.com.ar/wp-content/uploads/2025/02/82806-camison-frozen-mockup.webp,"¡Haz que la hora de dormir sea aún más mágica con este hermoso camisón de Frozen! Con un diseño encantador de Elsa y Anna, este camisón es ideal para que tu pequeña se sienta como una verdadera princesa. Hecho de tela suave y cómoda, ofrece total confort para un descanso placentero mientras sueña con las aventuras en el reino de Arendelle. ❄️✨ ¡Perfecto para noches llenas de magia y fantasía!",23999,https://magicstore.com.ar/camison-princesa-de-arendelle/
82807,FROZEN,Camison ML FROZEN,Camison ML FROZEN,2-4-6-8-10-12,1-2-2-2-2-1,9990,sku,1.00,si,Camisón Disfraz de Princesa Frozen,82807,https://magicstore.com.ar/wp-content/uploads/2025/02/82807-frozen-mockup.webp,"El camisón de algodón y modal con volados sublimado es una prenda delicada y elegante, diseñada para ofrecer máxima comodidad y un toque de feminidad. Está confeccionado con una mezcla de algodón y modal, dos tejidos suaves y ligeros que garantizan un ajuste cómodo y transpirable, ideal para una noche de descanso reparador. Los volados en el diseño añaden un detalle romántico y coqueto, realzando la silueta de manera suave y estilizada. La técnica de sublimación se emplea para crear patrones y colores vibrantes que se integran directamente en el tejido, lo que asegura una impresión duradera y de alta calidad, sin que se desvanezcan con el tiempo. Perfecto para quienes buscan una prenda cómoda, moderna y con un toque único de estilo.",23999,https://magicstore.com.ar/camison-disfraz-de-princesa-frozen/
82809,FROZEN,Pijama ML Frozen,Pijama ML Frozen,2-4-6-8-10-12,1-2-2-2-2-1,19990,sku,1.00,si,Pijama Estrella de Arendelle,82809leste,https://magicstore.com.ar/wp-content/uploads/2025/02/82809-completo.jpg,"¡Que tu pequeña viva la magia de Frozen con este encantador pijama de Elsa! Con un diseño brillante que resalta la elegancia de Elsa y su reino, este pijama es ideal para noches llenas de sueños congelados. Confeccionado en tela suave y cómoda, asegura un descanso placentero mientras tu peque se siente como una verdadera princesa del hielo. ❄️👑 ¡Perfecto para soñar con aventuras en Arendelle!",47999,https://magicstore.com.ar/pijama-estrella-de-arendelle/
